央视,#genre#
CCTV-1,http://106.115.25.96:9901/tsfile/live/1000_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV-2,http://106.115.25.96:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-3,http://106.115.25.96:9901/tsfile/live/1002_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/faacts/1002_1.m3u8?key=txiptv
CCTV-4,http://106.115.25.96:9901/tsfile/live/faacts/1003_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV-5,http://106.115.25.96:9901/tsfile/live/1004_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV-6,http://106.115.25.96:9901/tsfile/live/0006_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/faacts/1006_1.m3u8?key=txiptv
CCTV-7,http://106.115.25.96:9901/tsfile/live/faacts/0007_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-8,http://106.115.25.96:9901/tsfile/live/0008_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/faacts/1008_1.m3u8?key=txiptv
CCTV-9,http://106.115.25.96:9901/tsfile/live/0009_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV-10,http://106.115.25.96:9901/tsfile/live/faacts/0010_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-11,http://106.115.25.96:9901/tsfile/live/0011_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12,http://106.115.25.96:9901/tsfile/live/faacts/0012_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1012_1.m3u8?key=txiptv
CCTV-13,http://106.115.25.96:9901/tsfile/live/0013_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14,http://106.115.25.96:9901/tsfile/live/faacts/0014_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV-15,http://106.115.25.96:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV-17,http://106.115.25.96:9901/tsfile/live/1029_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/0019_1.m3u8?key=txiptv
卫视,#genre#
河北卫视,http://106.115.25.96:9901/tsfile/live/0117_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1063_1.m3u8?key=txiptv
北京卫视高清,http://106.115.25.96:9901/tsfile/live/1011_1.m3u8?key=txiptv
湖南卫视高清,http://106.115.25.96:9901/tsfile/live/1012_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1021_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1057_1.m3u8?key=txiptv
黑龙江卫视高清,http://106.115.25.96:9901/tsfile/live/1013_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1074_1.m3u8?key=txiptv
深圳卫视高清,http://106.115.25.96:9901/tsfile/live/1014_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1058_1.m3u8?key=txiptv
江苏卫视高清,http://106.115.25.96:9901/tsfile/live/1015_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1056_1.m3u8?key=txiptv#http://iptvcyp.top:9901/tsfile/live/1076_1.m3u8?key=txiptv
